Mean: 1.871091422654993, Std: 0.013430202281527118
Mean: 2.1744794342740374, Std: 0.020318206699975156
Mean: 2.671400082097458, Std: 0.015654009771297068
Mean: 2.4552501410415872, Std: 0.016014014010656573
Mean: 2.3857586857196114, Std: 0.026410525946979388
Mean: 3.312550264218186, Std: 0.02705960117531357
Mean: 4.25866707762483, Std: 0.061608758090722505
Mean: 4.833072388819405, Std: 0.0549551866601239
Mean: 5.508375819390823, Std: 0.05215224437369487
Mean: 6.225463237626039, Std: 0.09086111781053693
Mean: 6.441308992242424, Std: 0.057505825210523276
Mean: 6.976779777445076, Std: 0.0774359592065227
Mean: 7.080753729747609, Std: 0.07259790460069487
Mean: 7.081334050173877, Std: 0.08076399888325159
Mean: 7.538214004420224, Std: 0.10252664559035136
Mean: 7.625736880277086, Std: 0.10265403045189062
Mean: 7.6425849235828185, Std: 0.12413071270836004
Mean: 8.378839473837061, Std: 0.14564214890603885
Mean: 8.299985141879274, Std: 0.12433179612194684
Mean: 8.51902880365478, Std: 0.09220713404180338
Mean: 8.091375976433259, Std: 0.11261586005640582
Mean: 8.45168365750955, Std: 0.09296377179147616
Mean: 9.190541569417384, Std: 0.07613033410485749
Mean: 9.12068571493112, Std: 0.07711853676797169
Mean: 8.605475199812648, Std: 0.09363731290845513
Mean: 8.718450125839494, Std: 0.1203483997755022
Mean: 8.421671115457737, Std: 0.1343924529165721
Mean: 8.937366066512638, Std: 0.1108478723418907
Mean: 9.171975407178795, Std: 0.08630304307493974
Mean: 9.865624140389855, Std: 0.13232276128557274
Mean: 9.797219704072099, Std: 0.1397083332648375
Mean: 9.769301880336108, Std: 0.11451105749880906
Mean: 9.090735326320353, Std: 0.11253639068216122
Mean: 9.809858346845203, Std: 0.12538061520046878
Mean: 8.674244490559918, Std: 0.09450189266422923
Mean: 9.363892113907806, Std: 0.16695542795810986
Mean: 9.233346238536225, Std: 0.1396057215658512
Mean: 9.513912287674689, Std: 0.1310459309986085
Mean: 9.675498264279252, Std: 0.0796957461306127
Mean: 8.825065477274872, Std: 0.11988685019582838
Mean: 9.794623502291559, Std: 0.16476742125950755
Mean: 9.961421382426197, Std: 0.09342581891935375
Mean: 8.184003399669917, Std: 0.11236659108539533
Mean: 8.933555457146818, Std: 0.13506299991932255
Mean: 9.651584265712689, Std: 0.1512447204036269
Mean: 10.004423547718186, Std: 0.18056560152470444
Mean: 8.437102714862329, Std: 0.10026112061100677
Mean: 9.040759695638457, Std: 0.12753545938647917
Mean: 9.62570233911462, Std: 0.16431774460169363
Mean: 9.006035174468131, Std: 0.18250961437628588
Mean: 10.04723879099533, Std: 0.13630741342728303
Mean: 9.447057106292586, Std: 0.09287186664013551
Mean: 10.442992056982215, Std: 0.1261614694776307
Mean: 9.474043165686737, Std: 0.1124660231370807
Mean: 9.760938552510975, Std: 0.11076640251284804
Mean: 9.803587661221098, Std: 0.11629113458726187
