Mean: 2.3647537822256695, Std: 0.013489562584305018
Mean: 4.015572163753701, Std: 0.03796441517851145
Mean: 5.1620437187443065, Std: 0.03879613729449501
Mean: 5.870208985853712, Std: 0.08550299877598923
Mean: 6.0889255189762315, Std: 0.046795512397680164
Mean: 6.369635796950612, Std: 0.05458368435573547
Mean: 6.096043110567787, Std: 0.05652272355979511
Mean: 7.221863336241048, Std: 0.06287405994936977
Mean: 6.866385185236483, Std: 0.08286100683365093
Mean: 7.3484647917710335, Std: 0.05738126638057956
Mean: 7.304614993689218, Std: 0.05964328163058217
Mean: 8.156317171216054, Std: 0.17916953764432467
Mean: 8.529732661081557, Std: 0.07536953436152578
Mean: 9.066208581567519, Std: 0.07821992409179498
Mean: 9.23518509663172, Std: 0.11980852333204628
Mean: 9.734816476327165, Std: 0.07400102133898352
Mean: 10.502646489528399, Std: 0.1428191308345543
Mean: 11.567120752809428, Std: 0.13529541954635035
Mean: 11.408012444249056, Std: 0.1081870735262021
Mean: 12.412281553118236, Std: 0.19281309615199485
Mean: 12.751627407591144, Std: 0.15117073587702634
Mean: 12.98204330277746, Std: 0.164973589767517
Mean: 12.610600534509699, Std: 0.17925670602358568
Mean: 14.113836565980332, Std: 0.10273534947370559
Mean: 14.597070369846017, Std: 0.24145637092556052
Mean: 13.873792141865218, Std: 0.2401839968235268
Mean: 14.880567865203432, Std: 0.17925240346977392
Mean: 15.740159795192422, Std: 0.2465131127670589
Mean: 16.14235491839101, Std: 0.2627628952450823
Mean: 16.42170392039276, Std: 0.10540996130381143
Mean: 16.66924137036411, Std: 0.23386526274316766
Mean: 16.836305078784164, Std: 0.17827037181923616
Mean: 16.027904210204163, Std: 0.3286145823378478
Mean: 16.932336958112526, Std: 0.14033478964207702
Mean: 17.38805811136006, Std: 0.22241844022648316
Mean: 16.58404355307143, Std: 0.2368630281729683
Mean: 17.174716373470584, Std: 0.2183309721118162
Mean: 17.626680613948494, Std: 0.17158578577472483
Mean: 17.845486953486557, Std: 0.1967000846041843
Mean: 18.159789629854316, Std: 0.22017931219439751
Mean: 17.509103982139553, Std: 0.2385818027042641
Mean: 17.4892990583623, Std: 0.24667026444891116
Mean: 17.349074613441843, Std: 0.2084482003288239
Mean: 18.243289422265455, Std: 0.2537720935959545
Mean: 19.050877696839077, Std: 0.31226772685422743
Mean: 19.408796713141207, Std: 0.2593951407607439
Mean: 18.029281752326078, Std: 0.2096820970148917
Mean: 18.019409812201538, Std: 0.1924374885343474
Mean: 17.843479964901736, Std: 0.1372983905444954
Mean: 19.27606688217743, Std: 0.23361464772703233
Mean: 19.704834244999624, Std: 0.22678471066534225
Mean: 19.491963545678622, Std: 0.19378829256031366
Mean: 19.604799868550494, Std: 0.3364927784651083
Mean: 19.204103717843914, Std: 0.2855615440524433
Mean: 19.090998812784875, Std: 0.24273671688705886
Mean: 19.1187963518491, Std: 0.23010579061262112
Mean: 18.645458130013953, Std: 0.2897631591714315
Mean: 18.91623536108699, Std: 0.25878152804797216
Mean: 18.165250988543256, Std: 0.31738276551531514
Mean: 20.47814946723353, Std: 0.4205799659057382
Mean: 20.800720584358135, Std: 0.3806949801411977
Mean: 20.238966019989476, Std: 0.30229248404367665
Mean: 19.46179608975138, Std: 0.2961429200001891
Mean: 18.523971546143276, Std: 0.20640225085791553
Mean: 19.906743227651713, Std: 0.35835319083143186
Mean: 20.409148075178972, Std: 0.2947191746343104
Mean: 21.259889301763586, Std: 0.2515396179875283
Mean: 21.043752086293786, Std: 0.38243897493093415
Mean: 20.261263847142562, Std: 0.36885127393696515
Mean: 19.592426276011786, Std: 0.20239724353641292
Mean: 19.859270915346066, Std: 0.298649265131744
Mean: 20.97981323905006, Std: 0.27568040670690824
Mean: 21.248346385025776, Std: 0.25873864952202263
Mean: 20.53091949481806, Std: 0.3222266404465187
Mean: 20.93186738285172, Std: 0.42277915911579034
Mean: 21.34721078339623, Std: 0.24962678219139425
Mean: 22.101664430200803, Std: 0.2161863370859187
Mean: 20.83432593236556, Std: 0.17254024732109205
Mean: 19.522151078470436, Std: 0.3182655947217309
Mean: 21.194354102492277, Std: 0.3017178953254495
Mean: 19.73829806506568, Std: 0.38701151127699074
Mean: 22.87767791943532, Std: 0.4180176039776557
