Mean: 2.344053972725251, Std: 0.02019618523206858
Mean: 3.800835993911104, Std: 0.035867894255525244
Mean: 4.929876428749469, Std: 0.03590533848655585
Mean: 4.955744004605649, Std: 0.06044125080878234
Mean: 5.922817645232797, Std: 0.08856223818638355
Mean: 6.622939027125736, Std: 0.06942496303523413
Mean: 7.549113178825065, Std: 0.08009292517353851
Mean: 8.348963610808067, Std: 0.09716689754519355
Mean: 7.8162372399398965, Std: 0.13723477064110826
Mean: 7.971536210862287, Std: 0.07701356525618046
Mean: 9.02213773778538, Std: 0.09686568330947355
Mean: 9.393593296014394, Std: 0.08831797574348428
Mean: 10.265803194275959, Std: 0.1951306315871959
Mean: 10.741405119659918, Std: 0.09568262844641057
Mean: 10.228197456237194, Std: 0.07982658467131488
Mean: 10.02289039744521, Std: 0.11196131244977055
Mean: 11.084930880117387, Std: 0.12326891529577984
Mean: 12.297493797932393, Std: 0.137398713377155
Mean: 9.647800640175745, Std: 0.08602844845130123
Mean: 12.21303320863343, Std: 0.16557013930935277
Mean: 12.745122071674555, Std: 0.16234080554411826
Mean: 12.559697621226363, Std: 0.16301952977912287
Mean: 12.292145108886723, Std: 0.11767941685657307
Mean: 13.419018796608, Std: 0.23735388152510192
Mean: 14.097444178639432, Std: 0.23679579497582268
Mean: 14.81509996772424, Std: 0.28368159017476874
Mean: 14.659726160275875, Std: 0.20147497786978916
Mean: 16.261683864778476, Std: 0.3279450347627713
Mean: 16.132763150124823, Std: 0.18730327888783424
Mean: 17.441828956093595, Std: 0.20226473580294532
Mean: 18.35490128261234, Std: 0.2522285632585444
Mean: 19.13178707163557, Std: 0.26096467734325773
Mean: 20.915148350065394, Std: 0.2987780973374837
Mean: 20.581691495590125, Std: 0.22807893144380206
Mean: 21.500479174590016, Std: 0.2852244719901401
Mean: 22.50038297570595, Std: 0.40609269005349563
Mean: 22.989637449262446, Std: 0.25063947901048783
Mean: 21.773632600089094, Std: 0.17481144143059582
Mean: 19.586603958306714, Std: 0.16470116750729027
Mean: 23.39419705578546, Std: 0.415785798588587
Mean: 24.07538395004689, Std: 0.36697400669856095
Mean: 21.310820140809405, Std: 0.30850024013427846
Mean: 26.253660316333697, Std: 0.4460896437176718
Mean: 24.361923920789444, Std: 0.21414996734310615
Mean: 24.905060334795966, Std: 0.39614379122166804
Mean: 24.850732424802526, Std: 0.4573933281835423
Mean: 26.364752490153375, Std: 0.3054354054437347
Mean: 27.962877769601988, Std: 0.43194960230033425
Mean: 25.111640072543775, Std: 0.2736461087357312
Mean: 26.750601717185646, Std: 0.40409912335265913
Mean: 25.64704093008976, Std: 0.3838009531523571
Mean: 26.267647294078113, Std: 0.2131287851429075
Mean: 29.06187633334241, Std: 0.30106124155959335
Mean: 28.090671905072043, Std: 0.4094472910685428
Mean: 29.282177158900936, Std: 0.4206275941447215
Mean: 29.194112922442752, Std: 0.22527483187566835
Mean: 24.9157525572858, Std: 0.3647748125165734
Mean: 28.29794858212054, Std: 0.30395452778754556
Mean: 27.62962697007353, Std: 0.42001867552139754
Mean: 27.023420407250303, Std: 0.37695974030140633
Mean: 31.409314069344134, Std: 0.36712116934177896
Mean: 28.490338351267745, Std: 0.4229700838463487
Mean: 30.07649908307056, Std: 0.3055831221152094
Mean: 27.256823467558938, Std: 0.3819197618756131
Mean: 27.927987272974825, Std: 0.4458283256127766
Mean: 26.484378699545708, Std: 0.35103847990699416
Mean: 29.879909188560127, Std: 0.4093328260489768
Mean: 28.365291352626382, Std: 0.3569795660967384
Mean: 27.08752063218609, Std: 0.37793586916894556
Mean: 29.109006313639235, Std: 0.33963318874660464
Mean: 28.773273672375844, Std: 0.3382183466007355
Mean: 29.638758710336738, Std: 0.570841850626011
Mean: 26.438628280971795, Std: 0.2351985541507648
Mean: 28.759268753920686, Std: 0.24521927345995156
Mean: 29.194872065521942, Std: 0.412291131318729
Mean: 29.491474438552654, Std: 0.31708051223285516
Mean: 30.154855481205306, Std: 0.36180025207445393
Mean: 30.32514595861425, Std: 0.44154743710112215
Mean: 31.72283564393727, Std: 0.40554500595479964
Mean: 28.43740979198971, Std: 0.3744320990267467
Mean: 30.79619301059815, Std: 0.31063139034265164
Mean: 29.104057782377957, Std: 0.3245048345929424
Mean: 32.17212357285571, Std: 0.40156177454698483
Mean: 28.10353135314453, Std: 0.21965476303926276
Mean: 31.479406675500883, Std: 0.46506320999385
Mean: 29.550343916722532, Std: 0.6128741913773611
Mean: 31.441748000073808, Std: 0.4225283248764408
Mean: 31.292114204702727, Std: 0.35360324303206625
Mean: 32.28040722840166, Std: 0.4400127360098729
Mean: 30.165832899282567, Std: 0.5144230813003099
Mean: 26.928778672446025, Std: 0.37659161444816147
Mean: 31.942083398733665, Std: 0.5866408915030341
Mean: 29.49290773336765, Std: 0.30954093356474055
Mean: 30.35069302331583, Std: 0.44300928319478206
Mean: 29.079323743483286, Std: 0.3018031291114133
Mean: 28.809586257237026, Std: 0.4521409795193542
Mean: 32.4164051247018, Std: 0.542107721483557
Mean: 30.2152808869019, Std: 0.3763116239983828
Mean: 31.194014394366054, Std: 0.6444597986307478
Mean: 29.749407532263525, Std: 0.3423340868553165
Mean: 29.623333475947152, Std: 0.43231277505639293
