Mean: 29.826131126694197, Std: 0.33861892736338867
Mean: 31.272261353179054, Std: 0.5332649966770376
Mean: 30.683076097447223, Std: 0.4979240563404611
Mean: 27.949220766940194, Std: 0.40680286240982816
Mean: 28.95227438837445, Std: 0.501668863889043
Mean: 29.98245560301178, Std: 0.47802497145811834
Mean: 33.42954318054907, Std: 0.3683893951458268
Mean: 30.672214877066743, Std: 0.3713931850517815
Mean: 30.59681281523059, Std: 0.2674753653696265
Mean: 30.205702858386974, Std: 0.38679198754801075
Mean: 30.87578136459054, Std: 0.4870793749033741
Mean: 30.566413964913163, Std: 0.6216414161866222
Mean: 30.257500034347554, Std: 0.37848696425221406
Mean: 30.57030863777545, Std: 0.3932975365267752
Mean: 29.859876502645044, Std: 0.4712793199621051
Mean: 29.68626849434414, Std: 0.444079084866531
Mean: 30.48113926744809, Std: 0.38623746763412076
Mean: 30.518923381458524, Std: 0.37322063737726213
Mean: 30.642582263892656, Std: 0.19988044093929674
